Number_1,Number_2,Number_3,Number_4,Number_5,Joker
5,12,18,20,32,2
2,6,23,24,42,14
10,11,31,36,44,8
6,18,23,28,35,5
5,6,11,37,42,7
2,18,30,31,42,17
7,14,18,31,44,14
3,15,19,40,45,18
6,19,27,30,32,4
2,11,22,28,31,16
3,15,19,32,38,20
21,22,24,35,40,3
19,20,23,30,41,8
4,13,17,34,38,12
8,18,21,28,36,1
14,27,30,31,34,12
14,19,23,38,43,19
12,15,18,29,39,14
12,17,19,27,37,18
1,16,20,38,41,19
15,19,31,44,45,7
4,13,15,19,39,17
14,19,23,25,42,2
12,25,26,35,44,12
16,17,19,27,39,4
10,15,23,35,40,14
25,34,40,41,44,8
23,24,32,37,44,2
7,13,28,29,39,8
1,5,9,20,44,8
9,13,22,25,29,8
21,25,33,35,38,5
1,5,9,13,19,12
2,15,32,34,41,13
16,26,31,32,41,14
3,14,29,39,45,14
5,9,14,23,39,1
14,16,17,19,33,7
3,16,21,23,28,10
3,13,36,42,45,5
17,21,23,39,41,7
14,19,25,39,43,15
28,31,32,39,43,17
14,19,29,39,44,5
15,21,26,31,40,13
7,11,18,23,38,2
16,17,18,31,39,17
11,14,26,32,36,13
2,20,21,23,36,1
5,11,14,19,43,3
17,22,25,36,42,19
11,22,24,30,36,19
1,18,27,30,41,11
14,18,26,31,32,19
7,17,23,25,27,14
3,4,9,16,43,4
7,13,34,41,43,19
11,14,19,25,35,13
24,29,40,41,45,18
3,12,14,20,40,16
6,13,23,29,45,15
2,3,26,28,29,14
1,12,25,27,44,10
25,26,27,35,41,4
3,10,12,16,31,14
1,8,14,15,44,7
1,2,27,32,41,11
5,13,29,32,36,5
16,17,19,29,35,15
12,13,19,23,27,10
9,27,28,39,45,16
3,10,12,39,45,5
10,11,18,31,42,4
4,16,20,34,36,11
1,2,17,35,37,9
18,39,41,44,45,18
5,9,20,21,42,8
14,15,31,39,42,5
11,24,27,33,40,10
1,8,15,36,42,7
7,13,23,31,36,20
8,20,36,41,44,1
9,14,23,42,45,16
6,10,15,40,41,8
3,12,34,40,45,20
7,12,17,22,36,19
7,8,17,26,29,16
7,8,35,39,44,17
1,7,11,16,33,18
1,12,30,37,38,9
5,10,27,28,41,9
11,15,16,26,29,16
2,4,16,18,41,6
9,18,20,29,37,9
1,4,10,26,42,13
1,5,23,33,44,5
7,11,16,35,36,4
3,4,11,38,40,13
1,19,25,28,43,16
5,7,24,26,33,1
2,16,22,29,32,7
1,9,11,20,21,16
1,27,29,34,38,16
2,15,23,36,37,14
20,23,24,35,38,17
1,28,37,41,42,17
10,11,36,38,42,4
18,20,23,34,41,3
2,17,23,29,40,12
18,22,27,30,39,3
6,7,16,35,45,15
18,22,24,32,37,11
5,9,14,33,35,12
1,12,13,30,38,5
13,20,21,36,37,16
3,18,25,41,45,12
1,15,26,34,35,7
3,4,20,27,37,15
2,13,15,22,32,17
2,17,20,36,37,10
9,14,15,17,24,18
13,23,24,28,37,11
8,17,22,36,40,1
18,24,25,28,39,4
9,10,15,28,31,9
22,25,26,29,37,9
2,4,6,24,32,14
5,13,14,37,40,13
1,5,20,23,37,2
14,19,26,31,44,3
10,19,24,34,45,20
15,26,28,41,42,7
15,26,34,36,40,9
21,27,32,34,41,8
3,7,25,29,36,16
4,16,18,24,38,1
20,29,41,43,44,13
9,10,12,20,32,1
12,18,19,22,25,13
3,6,12,14,27,3
18,19,30,34,43,19
2,12,27,36,41,6
5,13,18,19,37,3
17,19,24,29,35,9
21,27,28,33,35,4
5,8,19,25,45,19
18,25,36,40,44,9
2,20,25,27,39,12
13,14,17,19,43,16
10,19,32,33,34,15
13,15,26,28,43,12
7,8,18,25,40,6
3,19,23,39,40,16
6,23,25,29,40,13
14,31,37,39,42,11
14,16,26,29,45,9
10,33,43,44,45,10
11,27,29,40,45,14
10,13,16,24,40,8
22,29,31,42,45,2
5,20,22,33,43,6
9,12,16,27,29,6
4,18,25,34,36,3
2,21,35,44,45,15
8,20,31,41,42,5
4,8,21,27,29,6
3,6,9,12,16,18
8,15,21,25,36,8
11,14,16,37,43,14
8,17,18,19,43,16
6,18,22,24,36,14
3,5,6,21,35,11
5,22,23,25,28,8
7,15,23,34,40,13
18,29,33,34,36,13
1,6,15,17,42,20
4,5,17,22,26,4
7,16,24,40,41,6
3,23,38,39,41,2
9,13,21,26,41,6
2,16,20,23,35,5
2,16,19,31,43,9
5,13,29,35,43,12
5,17,21,24,34,9
5,10,11,12,23,2
7,17,22,24,25,8
8,23,31,33,39,15
1,7,12,28,34,5
10,18,19,26,38,7
6,26,28,39,44,1
2,11,20,32,42,16
5,27,34,40,41,9
6,12,14,23,29,3
17,24,26,35,38,3
14,19,25,31,35,12
5,8,17,20,31,5
11,19,21,27,38,6
2,8,24,35,42,15
7,10,19,39,40,13
2,10,14,30,44,13
7,10,14,26,44,16
6,19,25,38,40,2
19,24,25,30,42,20
3,7,12,23,41,20
2,18,28,33,42,12
2,9,12,33,35,16
1,4,28,34,44,9
5,20,33,35,37,2
5,8,13,21,36,2
8,15,16,20,33,6
6,12,17,21,33,6
7,10,14,33,41,18
