Number_1,Number_2,Number_3,Number_4,Number_5,Number_6
2,4,5,46,48,49
4,10,12,14,44,48
11,23,24,36,38,39
7,16,18,22,23,43
20,21,30,34,35,41
1,13,14,15,24,28
5,14,20,28,42,44
9,11,26,28,29,40
2,6,30,43,45,47
13,16,18,20,29,32
8,9,14,33,35,49
16,18,36,42,46,47
5,7,17,30,34,45
8,16,18,24,37,48
2,9,22,38,41,45
17,18,19,20,24,36
14,21,31,36,42,47
3,5,7,10,15,29
15,33,35,38,42,46
10,12,14,18,23,37
1,2,9,12,37,40
14,22,26,27,35,46
3,10,13,20,39,40
3,5,16,17,23,43
9,21,25,27,28,46
12,13,21,41,42,47
1,12,18,20,26,39
8,10,13,19,43,48
1,2,4,15,16,30
8,14,24,44,45,49
2,12,25,30,34,49
2,5,9,26,35,45
26,34,36,39,40,47
7,9,22,33,36,41
18,24,34,37,40,44
14,30,32,35,36,39
2,5,13,17,20,25
11,19,23,27,36,44
6,19,34,35,36,49
3,7,14,25,26,42
1,11,25,31,32,45
4,5,9,16,20,24
5,9,29,34,35,43
4,15,18,19,39,43
4,8,13,16,17,49
16,19,24,30,37,40
6,10,20,27,36,49
6,8,10,14,16,37
7,11,16,28,32,40
21,27,28,30,44,49
1,2,5,19,21,27
11,13,33,38,39,47
10,18,30,31,35,47
1,7,12,25,31,42
4,6,12,19,28,42
2,10,29,34,44,49
2,4,7,26,38,40
1,3,9,21,44,47
3,7,20,27,40,46
13,15,26,30,33,42
9,21,25,36,43,46
9,18,27,31,32,35
8,14,18,21,25,26
3,36,43,45,47,49
4,5,7,8,29,49
14,22,24,25,32,39
1,6,25,28,42,49
9,17,21,29,33,35
9,17,22,34,45,46
20,25,27,32,36,42
26,29,30,36,41,45
4,7,23,26,28,38
4,5,13,18,29,34
4,17,24,35,38,43
5,6,13,26,32,49
15,21,24,29,41,46
18,22,25,29,33,40
4,5,10,22,30,36
11,15,17,30,31,49
7,21,33,46,47,49
11,16,22,27,41,45
7,11,18,29,36,48
7,11,35,40,41,43
2,6,19,35,43,48
2,6,18,20,22,25
9,15,27,28,39,46
6,10,17,34,35,49
14,36,37,38,39,41
4,19,29,39,43,49
5,11,13,18,20,29
7,10,16,23,38,46
1,4,10,15,21,46
4,20,31,36,37,46
1,7,19,30,32,33
13,33,44,47,48,49
14,38,45,47,48,49
2,4,9,23,30,41
13,19,23,25,26,37
1,5,6,14,24,29
7,14,21,30,35,45
33,34,38,46,47,49
2,9,12,27,30,49
5,18,21,23,42,49
2,11,17,26,31,45
7,14,21,28,43,46
15,23,33,41,44,49
1,8,19,26,40,47
2,4,5,7,22,41
9,13,19,22,36,41
6,7,18,24,31,43
1,4,10,11,13,39
3,10,15,17,19,29
7,10,27,28,31,33
8,9,23,24,25,41
13,14,21,22,38,44
5,17,30,32,37,38
6,13,22,29,42,47
7,22,23,24,25,42
9,12,13,17,21,31
3,12,23,33,43,47
2,7,17,40,41,46
8,13,30,31,48,49
3,6,12,13,14,41
7,8,19,26,33,35
2,6,14,16,17,31
6,13,19,30,31,49
5,12,30,31,33,41
4,11,13,18,41,43
1,5,28,42,47,49
10,23,26,38,46,47
16,17,26,31,38,41
13,26,33,34,42,47
6,12,25,32,35,42
7,8,11,16,34,38
14,16,28,41,46,49
12,13,16,24,35,42
2,13,27,38,41,49
3,4,6,10,13,49
1,6,21,24,31,45
1,7,12,26,38,41
2,8,20,26,43,47
6,8,15,19,26,41
12,21,24,26,43,49
11,12,29,33,38,42
5,11,13,26,36,41
8,10,16,17,20,26
6,9,25,34,39,46
13,16,30,35,42,45
1,14,20,26,33,46
8,25,28,34,38,45
4,9,13,16,38,49
1,12,27,33,37,38
